% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_2400keV_Apiezon_f37_FINAL.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 22 2024, 13:55
% Table:              Table 6 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
0                        7.0E-6                   5.0E-4                   7.105427357601002E-14    -6.394884621840902E-13
5                        7.0E-6                   5.0E-4                   1.4769537352030255       0.08387736157898473
10                       7.0E-6                   5.0E-4                   2.9518061006072003       0.16807843149594603
15                       7.0E-6                   5.0E-4                   4.423254150627102        0.2524643342427204
20                       7.0E-6                   5.0E-4                   5.889065642542008        0.3370984438372133
25                       7.0E-6                   5.0E-4                   7.352705098913276        0.42198573359270597
30                       7.0E-6                   5.0E-4                   8.81388532116329         0.5070646987715755
35                       7.0E-6                   5.0E-4                   10.269652367741212       0.5923704688657025
40                       7.0E-6                   5.0E-4                   11.729249959939686       0.6778888482465533
45                       7.0E-6                   5.0E-4                   13.183479589590839       0.7635718510418101
50                       7.0E-6                   5.0E-4                   14.635681170739574       0.8494397197230299
55                       7.0E-6                   5.0E-4                   16.087201702657204       0.9354742803019214
60                       7.0E-6                   5.0E-4                   17.53591869082124        1.021680408451843
65                       7.0E-6                   5.0E-4                   18.98196012953398        1.1080796674229063
70                       7.0E-6                   5.0E-4                   20.427734210866305       1.1946712499244825
75                       7.0E-6                   5.0E-4                   21.87319347916798        1.2814282376961614
80                       7.0E-6                   5.0E-4                   23.318257735864556       1.368342651318315
85                       7.0E-6                   5.0E-4                   24.762859461402662       1.4553975565563242
90                       7.0E-6                   5.0E-4                   26.20623462193094        1.5425910418834796
