% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_150keV_Apiezon_f28.mph
% Version:            COMSOL 6.2.0.290
% Date:               Aug 8 2024, 16:19
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
5                        1.1E-5                   5.0E-4                   1.336263916007912        0.11131491229676982
10                       1.1E-5                   5.0E-4                   2.6708217338050844       0.22302828539847042
15                       1.1E-5                   5.0E-4                   4.003462684020111        0.3349359461551735
20                       1.1E-5                   5.0E-4                   5.331494863927201        0.44709637881179276
25                       1.1E-5                   5.0E-4                   6.656590941293626        0.5595555105653958
30                       1.1E-5                   5.0E-4                   7.9814338103101825       0.67225546895164
35                       1.1E-5                   5.0E-4                   9.301772028974778        0.7851630789928628
40                       1.1E-5                   5.0E-4                   10.62227732425977        0.8983368960479865
45                       1.1E-5                   5.0E-4                   11.941556503963302       1.0117301624050121
50                       1.1E-5                   5.0E-4                   13.258159195309254       1.1253546631809144
55                       1.1E-5                   5.0E-4                   14.573317169030034       1.2392397109544255
60                       1.1E-5                   5.0E-4                   15.888064890046472       1.3533533998204277
65                       1.1E-5                   5.0E-4                   17.20079987920196        1.467684971765074
70                       1.1E-5                   5.0E-4                   18.51113499198894        1.5822509079029459
75                       1.1E-5                   5.0E-4                   19.820845525021923       1.6970490259434499
80                       1.1E-5                   5.0E-4                   21.130453187137476       1.8120551681140533
85                       1.1E-5                   5.0E-4                   22.439807251015502       1.927248913783675
90                       1.1E-5                   5.0E-4                   23.74883900694782        2.042618574461276
95                       1.1E-5                   5.0E-4                   25.057508113031638       2.1581527386733406
100                      1.1E-5                   5.0E-4                   26.364948010863614       2.273847317726844
105                      1.1E-5                   5.0E-4                   27.670904867372137       2.3897063028844236
110                      1.1E-5                   5.0E-4                   28.975738902911147       2.5057325967365713
115                      1.1E-5                   5.0E-4                   30.281060956979353       2.6219156397403616
120                      1.1E-5                   5.0E-4                   31.58676686935722        2.7382325499071847
125                      1.1E-5                   5.0E-4                   32.89276174399098        2.854674163650003
130                      1.1E-5                   5.0E-4                   34.198667887258146       2.9712289586477674
